FEGR,NAME,TYPE,SLABFLAG,SCRFLAG,SPLITFLAG,H1,GMPE1,H2,GMPE2,H3,GMPE3,GMPE_WARNING
34, OFF COAST OF NORTHERN CALIFORNIA,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
35, NEAR COAST OF NORTHERN CALIF.,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
36, NORTHERN CALIFORNIA,33,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
37, NEVADA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
38, OFF COAST OF CALIFORNIA,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
39, CENTRAL CALIFORNIA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
40, CALIFORNIA-NEVADA BORDER REGION,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
41, SOUTHERN NEVADA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
42, WESTERN ARIZONA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
43, SOUTHERN CALIFORNIA,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
44, CALIFORNIA-ARIZONA BORDER REGION,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
45, CALIF.-BAJA CALIF. BORDER REGION,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
46, W. ARIZONA-SONORA BORDER REGION,20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
47, OFF W. COAST OF BAJA CALIFORNIA,40,-,0,0,40,SOR,-,WARNING,-,-,SOR
48," BAJA CALIFORNIA, MEXICO",20,-,0,1,35,ACRsh,-,WARNING,-,-,ACRsh
49, GULF OF CALIFORNIA,23,-,0,1,55,OBR,-,WARNING,-,-,OBR
50," SONORA, MEXICO",20,-,0,0,35,ACRsh,-,WARNING,-,-,ACRsh
51, OFF COAST OF CENTRAL MEXICO,30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
52, NEAR COAST OF CENTRAL MEXICO,30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
53, REVILLA GIGEDO ISLANDS REGION,23,-,0,1,55,OBR,-,WARNING,-,-,OBR
54," OFF COAST OF JALISCO, MEXICO",30,c,0,1,15,SZInter,70,SZInter,999,SZIntra,-
55," NEAR COAST OF JALISCO, MEXICO",30,c,0,0,15,SZInter,70,SZInter,999,SZIntra,-
56," NEAR COAST OF MICHOACAN, MEXICO",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
57," MICHOACAN, MEXICO",33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
58," NEAR COAST OF GUERRERO, MEXICO",30,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
59," GUERRERO, MEXICO",33,a,0,0,15,SZInter,70,SZInter,999,SZIntra,-
